Day,Hour,Region,% of Total Sum of Trip Count,Sum of Trip Count,ID,,
1,12,South,0.1144430,3637,3,,
1,12,South East,0.1390812,4420,7,,
1,12,South West,0.1085903,3451,6,,
1,12,West,0.0386721,1229,5,,
2,12,CBD,0.0255714,819,10,,
2,12,Central,0.3035781,9723,0,,
2,12,Central East,0.0492069,1576,1,,
2,12,East,0.1021606,3272,4,,
2,12,North,0.0396216,1269,2,,
2,12,North East,0.0353753,1133,8,,
2,12,North West,0.0388410,1244,9,,
2,12,South,0.1209567,3874,3,,
2,12,South East,0.1379418,4418,7,,
2,12,South West,0.1070938,3430,6,,
2,12,West,0.0396528,1270,5,,
3,12,CBD,0.0102830,294,10,,
3,12,Central,0.2906509,8310,0,,
3,12,Central East,0.0481620,1377,1,,
3,12,East,0.1106992,3165,4,,
3,12,North,0.0511000,1461,2,,
3,12,North East,0.0465531,1331,8,,
3,12,North West,0.0476024,1361,9,,
3,12,South,0.1078311,3083,3,,
3,12,South East,0.1448008,4140,7,,
3,12,South West,0.1056626,3021,6,,
3,12,West,0.0366549,1048,5,,
4,12,CBD,0.0085761,237,10,,
4,12,Central,0.2936855,8116,0,,
4,12,Central East,0.0434956,1202,1,,
4,12,East,0.1125746,3111,4,,
4,12,North,0.0531210,1468,2,,
4,12,North East,0.0474037,1310,8,,
4,12,North West,0.0488873,1351,9,,
4,12,South,0.1078343,2980,3,,
4,12,South East,0.1582775,4374,7,,
4,12,South West,0.0928895,2567,6,,
4,12,West,0.0332549,919,5,,
5,12,CBD,0.0255448,776,10,,
5,12,Central,0.3017644,9167,0,,
5,12,Central East,0.0492132,1495,1,,
5,12,East,0.1064586,3234,4,,
5,12,North,0.0469089,1425,2,,
5,12,North East,0.0378893,1151,8,,
5,12,North West,0.0420370,1277,9,,
